student_id;first_name;last_name;semester;total_present;total_credits
1;Hamlin;Goschalk;Fall;2;3
1;Hamlin;Goschalk;Spring;1;1
3;Judy;Dake;Fall;2;8
3;Judy;Dake;Spring;1;3
4;Rem;Cheal;Fall;1;2
4;Rem;Cheal;Spring;2;3
5;Waldo;Wray;Fall;1;3
6;Imelda;Caudrelier;Spring;2;7
7;Selia;Tidder;Fall;1;2
8;Alix;Smiths;Fall;1;1
10;Aylmar;McCritichie;Fall;1;3
10;Aylmar;McCritichie;Spring;2;10
11;Sharline;Alexandrescu;Spring;2;4
12;Jaine;Brisco;Fall;3;9
13;Carlin;Swetland;Fall;3;3
13;Carlin;Swetland;Spring;1;5
14;Kaia;Enns;Fall;2;8
15;Lyndy;Le Cornu;Spring;3;8
17;Sybil;Flint;Fall;1;3
17;Sybil;Flint;Spring;2;9
18;Maurie;McTague;Fall;1;3
19;Nevin;Vondracek;Fall;2;6
21;Demetri;McDuall;Fall;1;2
21;Demetri;McDuall;Spring;1;3
23;Vivyan;Worster;Fall;1;5
23;Vivyan;Worster;Spring;1;2
24;Irvine;MacCleay;Fall;1;4
24;Irvine;MacCleay;Spring;2;7
25;Orella;Dowrey;Fall;1;2
25;Orella;Dowrey;Spring;1;5
27;Val;Klaaasen;Fall;1;2
28;Cointon;Esposi;Fall;3;13
29;Fidela;Brailey;Fall;2;8
30;Nanon;Walbrun;Fall;1;5
31;Seymur ;Abdullayev;Fall;2;8
32;Omero;Bollans;Fall;1;5
33;Tommi;Gascard;Fall;1;4
35;Cortie;Dahmel;Fall;2;6
35;Cortie;Dahmel;Spring;1;4
36;Minda;Ravilious;Fall;1;3
38;Blaine;Kenney;Fall;1;2
38;Blaine;Kenney;Spring;3;6
39;Maudie;Gillespey;Fall;1;3
41;Whitney;Heller;Fall;1;4
43;Maggie;Dickings;Fall;1;2
43;Maggie;Dickings;Spring;2;5
45;Niven;MacIlhagga;Fall;1;1
45;Niven;MacIlhagga;Spring;2;5
46;Lezley;D'Onise;Fall;1;5
47;Dyan;Weir;Fall;2;10
47;Dyan;Weir;Spring;1;3
48;Sanders;Hellwig;Spring;1;5
49;Brucie;Stife;Fall;1;3
50;Brett;Dagger;Fall;3;7
50;Brett;Dagger;Spring;1;3
51;Graham;Lillistone;Spring;2;7
52;Lanna;Trippitt;Fall;1;5
53;Gina;Conan;Fall;2;7
53;Gina;Conan;Spring;1;5
54;Tadio;Green;Spring;1;3
55;Rafaello;Rickerby;Fall;1;5
56;Catie;Kindle;Fall;3;13
56;Catie;Kindle;Spring;1;4
57;Rufat;Shirvanli;Fall;2;2
57;Rufat;Shirvanli;Spring;1;4
58;Gill;Delagnes;Fall;5;11
58;Gill;Delagnes;Spring;2;8
59;Lari;Dablin;Fall;1;4
59;Lari;Dablin;Spring;1;2
60;Margarete;Letherbury;Fall;1;5
61;Cross;Joynson;Fall;1;1
61;Cross;Joynson;Spring;1;3
64;Bing;Tobias;Fall;1;5
64;Bing;Tobias;Spring;2;4
66;Elwyn;Horley;Spring;2;3
67;Meredeth;Mower;Spring;1;4
68;Malia;Peyto;Spring;2;7
69;Amelina;Hansana;Fall;1;3
70;Jerry;Van der Daal;Spring;1;4
71;Maudie;Aspinell;Fall;1;2
72;Carley;Domney;Fall;1;5
72;Carley;Domney;Spring;3;9
73;Helene;Huish;Spring;1;5
75;Alidia;Clench;Fall;2;5
76;Eleanora;Halworth;Fall;1;3
76;Eleanora;Halworth;Spring;1;1
78;Reinwald;Dugmore;Fall;1;5
79;Linea;Earngy;Spring;1;1
80;Lilian;Reglar;Spring;2;5
81;Silvano;Kenner;Spring;2;6
82;Fae;Boone;Fall;2;2
83;Benni;Pine;Fall;1;2
83;Benni;Pine;Spring;1;5
84;Elyse;Dimmick;Fall;2;8
84;Elyse;Dimmick;Spring;1;5
87;Jules;Valente;Spring;1;2
88;Corbin;Catling;Fall;3;9
90;Had;Greenmon;Fall;1;2
90;Had;Greenmon;Spring;1;2
91;Sasha;Hawken;Fall;1;5
92;Elwira;Ludovici;Fall;1;1
92;Elwira;Ludovici;Spring;1;3
93;Darrin;Crass;Spring;1;4
94;Ediva;Searles;Fall;2;7
94;Ediva;Searles;Spring;1;4
95;Sarina;Leschelle;Fall;1;4
95;Sarina;Leschelle;Spring;2;6
97;Nata;Attenborough;Fall;1;5
