student_id;first_name;last_name;gender;birth_date;major;enrollment_year;gpa;course_count;country
1;Hamlin;Goschalk;Male;29.04.1997;AI-Powered Design;2024;2.95;2;Slovenia
2;Ken;Clarridge;Male;09.01.2001;Creative Intelligence;2019;2.4;10;Greece
3;Judy;Dake;Female;08.06.2000;Behavioral Robotics;2021;4.62;3;France
4;Rem;Cheal;Male;04.05.2006;Crypto Economics;2020;4.81;7;France
5;Waldo;Wray;Male;23.03.2004;Crypto Economics;2018;2.25;5;France
6;Imelda;Caudrelier;Female;22.09.1996;Synthetic Biology Design;2020;2.69;2;Portugal
7;Selia;Tidder;Female;15.03.2004;Holographic Media Design;2022;2.54;7;Greece
8;Alix;Smiths;Female;30.10.2003;Space Habitat Engineering;2020;4.72;3;Australia
9;Chip;Kielty;Agender;21.05.2004;Neuroaesthetics;2018;3.55;1;Portugal
10;Aylmar;McCritichie;Male;31.10.2004;Biomedical Nanotechnology;2017;2.57;4;Ukraine
11;Sharline;Alexandrescu;Female;17.11.1996;Robotics and Human Interaction;2023;3.9;2;France
12;Jaine;Brisco;Female;08.06.1997;Quantum Architecture;2022;3.34;1;Czech Republic
13;Carlin;Swetland;Male;06.10.2002;Cultural Data Science;2021;2.27;4;Ukraine
14;Kaia;Enns;Female;10.01.2002;Emotional AI Research;2020;3.44;6;Spain
15;Lyndy;Le Cornu;Female;16.11.1999;Synthetic Biology Design;2019;2.26;4;Czech Republic
16;Barbey;Riley;Female;01.06.2005;Crypto Economics;2018;4.37;8;Canada
17;Sybil;Flint;Female;15.02.2005;Digital Sociology;2021;4.06;2;Portugal
18;Maurie;McTague;Male;01.01.2002;Space Tourism Management;2022;3.78;2;Ireland
19;Nevin;Vondracek;Male;06.06.1996;Data-Driven Marketing;2019;2.27;7;Ukraine
20;Cary;McElory;Male;27.11.1996;Virtual Reality Therapy;2024;4.61;3;Azerbaijan
21;Demetri;McDuall;Male;27.08.1996;Geospatial Intelligence;2020;4.52;1;France
22;Rustin;Kleinerman;Male;20.05.2005;Automated Supply Chain Systems;2016;2.53;5;Sweden
23;Vivyan;Worster;Female;19.03.1996;Fintech Innovations;2018;2.88;8;Portugal
24;Irvine;MacCleay;Male;29.12.2003;Digital Sociology;2019;4.45;3;France
25;Orella;Dowrey;Female;13.12.2006;Deep Learning in Medicine;2020;4.97;1;Lithuania
26;Lockwood;Gourdon;Male;11.05.1999;Digital Twin Systems;2021;4.31;3;Ukraine
27;Val;Klaaasen;Polygender;28.09.2002;Virtual Reality Therapy;2016;2.61;1;Poland
28;Cointon;Esposi;Male;28.05.1998;Data-Driven Marketing;2016;3.42;4;France
29;Fidela;Brailey;Female;16.08.2003;Smart Grid Engineering;2020;2.44;8;Sweden
30;Nanon;Walbrun;Female;01.05.2006;Applied Data Systems;2017;4.45;6;Sweden
31;Seymur ;Abdullayev;Male;07.08.1999;Data-Driven Marketing;2024;4.29;2;Azerbaijan
32;Omero;Bollans;Male;06.11.2006;Robotics and Human Interaction;2023;3.54;6;Ukraine
33;Tommi;Gascard;Female;19.02.2006;Sustainable Food Systems;2016;4.75;3;Ukraine
34;Hally;Straughan;Female;22.12.1996;Biomedical Nanotechnology;2022;2.86;6;Croatia
35;Cortie;Dahmel;Bigender;21.10.1999;Quantum Architecture;2018;2.49;8;Canada
36;Minda;Ravilious;Female;13.07.2001;Data-Driven Marketing;2022;2.25;8;Portugal
37;Katherine;Jorden;Female;18.04.2004;Sustainable Urban Planning;2021;2.8;3;Ukraine
38;Blaine;Kenney;Male;27.05.1996;Synthetic Biology Design;2022;3.33;6;Portugal
39;Maudie;Gillespey;Female;29.06.2000;Fintech Innovations;2021;2.72;4;Portugal
40;Burton;Dufour;Male;28.06.2005;Cultural Data Science;2019;3.78;2;Sweden
41;Whitney;Heller;Female;03.06.1996;Augmented Reality Education;2020;2.06;1;Finland
42;Xerxes;McGinn;Male;20.11.1996;Biomedical Nanotechnology;2021;4.61;9;Poland
43;Maggie;Dickings;Female;22.02.1999;Digital Ethics and AI Law;2021;4.31;3;Ukraine
44;Pietra;Server;Female;25.08.2000;Virtual Reality Therapy;2021;4.73;6;Portugal
45;Niven;MacIlhagga;Male;17.09.1997;Urban Sustainability;2022;4.01;10;Portugal
46;Lezley;D'Onise;Male;16.12.1999;Behavioral Robotics;2020;3.05;1;Latvia
47;Dyan;Weir;Female;17.09.1999;Data-Driven Marketing;2023;3.04;8;Poland
48;Sanders;Hellwig;Male;08.08.2006;Data-Driven Marketing;2018;2.38;4;Poland
49;Brucie;Stife;Male;11.07.1995;Data-Driven Marketing;2019;3.89;2;South Africa
50;Brett;Dagger;Female;26.04.2006;AI-Assisted Law;2022;4.56;4;South Africa
51;Graham;Lillistone;Male;22.03.2006;Space Habitat Engineering;2022;3.67;2;Portugal
52;Lanna;Trippitt;Female;22.08.1996;Environmental Neurobiology;2021;3.79;4;Poland
53;Gina;Conan;Agender;19.01.2005;Emotional AI Research;2021;3.17;1;Poland
54;Tadio;Green;Male;24.09.1995;Interstellar Communications;2021;2.72;4;Poland
55;Rafaello;Rickerby;Male;19.11.2005;Quantum Architecture;2024;4.29;10;Sweden
56;Catie;Kindle;Female;17.05.2001;AI-Assisted Law;2024;2.9;7;Portugal
57;Rufat;Shirvanli;Male;15.11.2001;Data-Driven Marketing;2019;4.51;1;Azerbaijan
58;Gill;Delagnes;Male;11.12.2002;Cultural Data Science;2016;2.49;6;Poland
59;Lari;Dablin;Female;05.01.1995;Fintech Innovations;2018;2.47;6;France
60;Margarete;Letherbury;Female;09.08.2001;Bioelectric Engineering;2019;4.5;1;Portugal
61;Cross;Joynson;Male;20.12.1996;Computational Literature;2018;2.92;8;Czech Republic
62;Nesta;Latus;Female;07.02.2003;Fintech Innovations;2022;3.8;1;South Africa
63;Kippie;Shier;Agender;06.11.1997;Digital Twin Systems;2023;3.3;3;France
64;Bing;Tobias;Male;06.01.1995;Applied Data Systems;2022;4.55;3;Poland
65;Bili;Pembridge;Genderfluid;10.09.2000;Space Tourism Management;2024;4.02;9;Portugal
66;Elwyn;Horley;Male;05.11.1996;Synthetic Biology Design;2024;3.91;3;France
67;Meredeth;Mower;Male;20.06.2000;Urban Sustainability;2017;2.53;8;Poland
68;Malia;Peyto;Female;12.02.2004;Virtual Reality Therapy;2020;3.72;3;Ireland
69;Amelina;Hansana;Female;12.01.2002;Augmented Reality Education;2019;2.18;3;Poland
70;Jerry;Van der Daal;Female;22.05.2004;Algorithmic Journalism;2024;4.59;1;Bosnia and Herzegovina
71;Maudie;Aspinell;Bigender;10.03.2003;Environmental Neurobiology;2019;2.47;2;Portugal
72;Carley;Domney;Female;05.12.2000;Virtual Reality Therapy;2023;3.22;4;Poland
73;Helene;Huish;Female;23.02.2000;Sustainable Food Systems;2016;3.08;3;Finland
74;Jonis;Dessaur;Female;20.11.2006;Automated Supply Chain Systems;2016;3.65;8;France
75;Alidia;Clench;Female;07.11.2004;Computational Literature;2020;4.96;2;Poland
76;Eleanora;Halworth;Female;18.07.2006;Behavioral Robotics;2016;2.75;3;Sweden
77;Julie;Popescu;Male;18.06.2001;Quantum Architecture;2019;4.74;9;Canada
78;Reinwald;Dugmore;Agender;17.03.1999;Smart Grid Engineering;2024;3.67;10;South Africa
79;Linea;Earngy;Female;04.11.1998;Urban Sustainability;2017;3.38;4;France
80;Lilian;Reglar;Female;14.11.1995;Sustainable Food Systems;2022;4.39;1;Ukraine
81;Silvano;Kenner;Male;07.05.2000;Automated Supply Chain Systems;2023;3.39;2;South Africa
82;Fae;Boone;Female;08.09.2005;Deep Learning in Medicine;2019;4.96;10;Poland
83;Benni;Pine;Genderqueer;24.05.2006;Social Media Analytics;2021;2.69;4;Czech Republic
84;Elyse;Dimmick;Female;16.11.2006;AI-Powered Design;2018;2.36;3;Poland
85;Obadias;Arnao;Male;23.10.2006;Cybernetic Education Models;2024;2.43;3;Poland
86;Cassie;Schapiro;Agender;06.10.2003;Crypto Economics;2017;2.39;10;South Africa
87;Jules;Valente;Genderfluid;17.10.2006;Space Tourism Management;2020;3.86;1;Sweden
88;Corbin;Catling;Male;08.07.2006;Crypto Economics;2023;3.6;6;Lithuania
